CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas
;;1T;2025;93880682.42
04439627000102;ALLIANZ SAÚDE S/A;1T;2025;7096486.67
04540010000170;PORTO SEGURO - SEGURO SAÚDE S/A;1T;2025;1319460931.64
04487255000181;UNIMED SEGUROS SAÚDE S/A;1T;2025;1205194240.59
04463083000106;ITAUSEG SAÚDE S.A.;1T;2025;82496034.50
92693118000160;BRADESCO SAÚDE S.A.;1T;2025;7457669173.86
01685053000156;SUL AMERICA COMPANHIA DE SEGURO SAÚDE;1T;2025;6360692010.44
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;28729013.43
54991211000162;UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;1T;2025;29005674.43
01402285000150;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;1T;2025;894511.87
41871989000196;UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;1T;2025;14557179.87
01476619000130;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;1T;2025;8674214.82
50480953000172;UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;52519092.22
20168589000149;PRONTOMED PLANOS DE SAÚDE LTDA;1T;2025;13746674.50
01356020000162;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;1T;2025;16823670.56
58119199000151;ODONTOPREV S/A;1T;2025;164878813.67
00461479000163;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;1T;2025;1414729129.27
00747041000146;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;1T;2025;6285381.92
35617257000171;CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;1T;2025;9249631.60
35830868000101;UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;1T;2025;98326890.27
07649106000160;UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;1T;2025;16312706.45
56727134000163;UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;103538271.68
85377174000120;UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;120297038.66
62638374000194;CENTRO TRASMONTANO DE SAO PAULO;1T;2025;192029482.97
64924095000112;SERMED-SAÚDE LTDA.;1T;2025;49698090.18
