CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,RegistroANS,Modalidade,UF
04439627000102,ALLIANZ SAÚDE S/A,1T,2025,7096486.67,2001-08-06,Seguradora Especializada em Saúde,SP
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,1T,2025,1319460931.64,2001-07-31,Seguradora Especializada em Saúde,SP
04487255000181,UNIMED SEGUROS SAÚDE S/A,1T,2025,1205194240.59,2001-07-30,Seguradora Especializada em Saúde,SP
04463083000106,ITAUSEG SAÚDE S.A.,1T,2025,82496034.5,2001-07-27,Seguradora Especializada em Saúde,SP
92693118000160,BRADESCO SAÚDE S.A.,1T,2025,7457669173.86,1998-12-16,Seguradora Especializada em Saúde,RJ
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,1T,2025,6360692010.44,1998-12-16,Seguradora Especializada em Saúde,RJ
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1T,2025,28729013.43,1998-12-18,Cooperativa Médica,RS
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,1T,2025,29005674.43,1998-12-18,Cooperativa Médica,SP
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,1T,2025,894511.87,1998-12-22,Odontologia de Grupo,PB
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,1T,2025,14557179.87,1998-12-17,Cooperativa Médica,MG
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,1T,2025,8674214.82,1998-12-24,Cooperativa Médica,TO
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,1T,2025,52519092.22,1998-12-18,Cooperativa Médica,SP
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,1T,2025,13746674.5,1998-12-23,Medicina de Grupo,MG
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,1T,2025,16823670.56,1998-12-17,Cooperativa Médica,SC
58119199000151,ODONTOPREV S/A,1T,2025,164878813.67,1998-12-18,Odontologia de Grupo,SP
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,1T,2025,1414729129.27,1998-12-22,Medicina de Grupo,SP
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,1T,2025,6285381.92,1998-12-24,Cooperativa Médica,GO
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,1T,2025,9249631.6,1998-12-17,Autogestão,PE
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,1T,2025,98326890.27,1998-12-21,Cooperativa Médica,RJ
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,1T,2025,16312706.45,1998-12-30,Cooperativa Médica,CE
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,103538271.68,1998-12-18,Cooperativa Médica,SP
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,1T,2025,120297038.66,1998-12-16,Cooperativa Médica,SC
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,1T,2025,192029482.97,1998-12-22,Medicina de Grupo,SP
64924095000112,SERMED-SAÚDE LTDA.,1T,2025,49698090.18,1998-12-16,Medicina de Grupo,SP
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,9999084.13,1998-12-22,Cooperativa Médica,SP
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,1T,2025,376347317.08,1998-12-18,Cooperativa Médica,PA
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,1T,2025,25637777.07,1998-12-18,Cooperativa Médica,MG
50368034000101,UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,1T,2025,12214557.38,1998-12-18,Cooperativa Médica,SP
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),1T,2025,28161018.18,1998-12-22,Autogestão,SP
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,1T,2025,2485208.98,1999-01-25,Medicina de Grupo,RS
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,1T,2025,21327551.93,1998-12-17,Cooperativa Médica,MG
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,1T,2025,27739091.64,1998-12-17,Cooperativa Médica,MG
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,1T,2025,4103796.56,1999-02-03,Odontologia de Grupo,PE
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,29450789.28,1998-12-24,Cooperativa Médica,MT
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,1T,2025,14295423.68,1998-12-22,Cooperativa odontológica,PR
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,1T,2025,2403405.88,1998-12-22,Medicina de Grupo,MG
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,1T,2025,748372943.59,1998-12-21,Cooperativa Médica,PR
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,1T,2025,59072644.98,1998-12-28,Cooperativa Médica,SP
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,1T,2025,22751546.13,1998-12-17,Cooperativa Médica,PR
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,1T,2025,834787.73,1998-12-23,Cooperativa odontológica,RS
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,1T,2025,23403090.78,1998-12-24,Cooperativa Médica,GO
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,1T,2025,6372970.05,1998-12-22,Medicina de Grupo,MG
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,1T,2025,1621567.86,1998-12-22,Medicina de Grupo,SP
72547623000190,SANTA CASA DE MISERICÓRDIA DE TUPÃ,1T,2025,2400976.28,1998-12-28,Filantropia,SP
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,1T,2025,37615752.31,1998-12-17,Cooperativa Médica,PR
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,1T,2025,43748678.28,1998-12-18,Cooperativa Médica,SP
