      cnpj      |                                        razao_social                                         | qtd_trimestres_acima_media | total_trimestres 
----------------+---------------------------------------------------------------------------------------------+----------------------------+------------------
 29309127000179 | AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.                                                  |                          3 |                3
 92693118000160 | BRADESCO SAÚDE S.A.                                                                         |                          3 |                3
 62231527000184 | CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO                          |                          3 |                3
 33719485000127 | CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL                                    |                          3 |                3
 04311093000126 | CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL                         |                          3 |                3
 02725347000127 | CARE PLUS MEDICINA ASSISTENCIAL LTDA.                                                       |                          3 |                3
 00628107000189 | FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA                               |                          3 |                3
 62465117000106 | FUNDAÇÃO CESP                                                                               |                          3 |                3
 73809352000166 | FUNDAÇÃO SAÚDE ITAÚ                                                                         |                          3 |                3
 03658432000182 | GEAP AUTOGESTÃO EM SAÚDE                                                                    |                          3 |                3
 31925548000176 | GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA                                                     |                          3 |                3
 63554067000198 | HAPVIDA ASSISTENCIA MEDICA S.A.                                                             |                          3 |                3
 00361325000108 | HUMANA SAÚDE NORDESTE LTDA.                                                                 |                          3 |                3
 62550256000120 | NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.                                              |                          3 |                3
 44649812000138 | NOTRE DAME INTERMÉDICA SAÚDE S.A.                                                           |                          3 |                3
 44673382000190 | OMINT SERVIÇOS DE SAÚDE S.A.                                                                |                          3 |                3
 04540010000170 | PORTO SEGURO - SEGURO SAÚDE S/A                                                             |                          3 |                3
 00461479000163 | PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA                                              |                          3 |                3
 31466949000105 | SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A                                                  |                          3 |                3
 43293604000186 | SANTA HELENA ASSISTÊNCIA MÉDICA S/A.                                                        |                          3 |                3
 01685053000156 | SUL AMERICA COMPANHIA DE SEGURO SAÚDE                                                       |                          3 |                3
 28630531000187 | UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA                                |                          3 |                3
