uf,total_despesas,qtd_operadoras,media_por_operadora
SP,145077691650.3,241,601982123.0302904
RJ,108346167584.96,63,1719780437.856508
MG,24515032983.41,101,242723098.84564355
CE,23947309806.37,16,1496706862.898125
DF,23353023076.48,15,1556868205.0986667
PR,15417899284.85,43,358555797.322093
RS,14188156852.75,46,308438192.45108694
GO,8628325343.52,22,392196606.5236364
SC,8525417558.28,27,315756205.8622222
ES,7920332520.02,17,465901912.94235295
PE,4335743991.77,11,394158544.7063637
MT,3576467852.84,9,397385316.98222226
MS,3184380723.98,8,398047590.4975
PA,2863288641.55,9,318143182.39444447
PI,2518533521.69,5,503706704.338
PB,2223866508.81,14,158847607.77214286
BA,2007798060.61,19,105673582.13736841
AL,1883152132.8500001,5,376630426.57000005
RN,1840688390.96,3,613562796.9866667
SE,1067535102.7099999,8,133441887.83874999
AM,870804051.13,5,174160810.226
RO,831308741.87,6,138551456.97833332
TO,327366440.66,4,81841610.165
AC,296848842.04,1,296848842.04
MA,251116407.10999998,2,125558203.55499999
AP,6915264.4,1,6915264.4
None,0.0,23,0.0
